Time,Therm,Potent
0,115,671
200,108,659
401,164,690
602,113,688
802,157,670
1003,163,691
1204,111,669
1404,112,670
1605,110,670
1806,202,704
2007,155,687
2207,112,671
2408,165,691
2610,111,670
2810,180,697
3011,175,694
3212,146,671
3412,182,697
3613,112,671
3814,184,704
4015,113,694
4215,145,684
4416,177,743
4617,112,797
4817,161,890
5018,113,964
5219,156,1018
5420,157,1023
5621,159,1023
5822,153,1023
6023,148,1023
6223,167,1023
6424,158,1023
6625,159,1023
6825,179,1023
7026,180,1023
7227,158,1023
7429,161,1023
7629,160,1023
7830,163,1023
8031,159,1023
8231,171,1023
8432,153,1023
8633,148,1023
8834,147,1023
9035,145,1023
9236,191,1023
9437,196,1023
9637,257,1023
9838,236,1023
10039,244,1023
10240,201,1020
10440,173,999
10642,153,972
10843,177,946
11043,195,915
11244,199,890
11445,194,862
11645,178,859
11846,114,836
12047,168,814
12248,174,794
12448,183,777
12650,171,752
12851,178,715
13051,192,721
13252,118,679
13453,244,722
13654,118,706
13854,215,691
14055,215,673
14256,230,610
14457,230,645
14658,117,572
14859,217,601
15059,118,531
15260,214,568
15461,118,491
15662,218,460
15862,120,499
16063,118,404
16265,214,447
16465,117,349
16666,220,404
16867,117,299
17068,224,278
17268,118,256
17469,119,231
17670,126,354
17870,121,173
18071,255,235
18273,120,31
18473,120,11
18674,120,8
18875,119,7
19076,119,7
19276,119,7
19477,115,3
19678,137,27
19878,115,3
20079,142,31
20280,114,2
20481,116,4
20681,115,3
20882,133,24
21083,116,5
21283,119,8
21484,115,4
21685,114,3
21885,115,4
22086,115,4
22287,115,5
22488,112,1
22688,112,2
22889,111,1
23090,117,8
23290,112,2
23491,134,27
23693,114,5
23894,126,18
24094,111,1
24295,112,4
24496,112,3
24696,110,1
24897,111,2
25098,110,2
25298,109,1
25499,112,4
25700,111,3
25901,107,0
26101,109,2
26302,108,0
26503,108,0
26703,108,1
26904,108,1
27105,108,1
27305,108,2
27506,107,0
27707,106,0
27908,107,0
28108,107,1
28309,107,1
28510,106,1
28710,106,0
28911,105,0
29112,105,0
29313,105,1
29513,105,0
29714,105,0
29915,105,1
30115,104,0
